,ST_NUM,Street Name,Street Suffix,Zipcode,PTYPE,Owner,Property Value,Year Built,Year Remodeled
1014,62  ,COMMERCIAL WHARF EAST, ,2110.0,358,CALICAPA LLC,473500,0.0,
1015,63  ,COMMERCIAL WHARF EAST, ,2110.0,358,CHABOT PAUL L TRST,415000,0.0,
1016,63  ,COMMERCIAL WHARF EAST, ,2110.0,358,BOZZA MARIO,469500,0.0,
1017,64  ,COMMERCIAL WHARF EAST, ,2110.0,358,PF-64 LLC A MASS LIMITED,374500,0.0,
1018,66 -68,COMMERCIAL WHARF EAST, ,2110.0,358,DEBENEDICTIS DANIELLE E,663000,0.0,
1019,82 78,ATLANTIC,AV,2110.0,327,KANTER RICHARD L TRSTS,1610500,1899.0,1995.0
1020,38 34,ATLANTIC,AV,2110.0,344,ROSEBUD/LEWIS WHARF,6080500,1981.0,2014.0
1021,45  ,LEWIS,WH,2110.0,387,DENORMANDIE PHILIP Y   GP,9128000,0.0,
1022,28 32,ATLANTIC,AV,2110.0,450,DENORMANDIE PHILIP Y  GP,423000,0.0,
1023,28 32,ATLANTIC,AV,2110.0,450,DENORMANDIE PHILIP Y  GP,137000,0.0,
1024,28 32,ATLANTIC,AV,2110.0,450,DENORMANDIE PHILIP Y GP,117000,0.0,
1025,28 32,ATLANTIC,AV,2110.0,450,LVG CORP,135500,0.0,
1026,28 32,ATLANTIC,AV,2110.0,450,LVG CORP,127000,0.0,
1027,28 32,ATLANTIC,AV,2110.0,450,DIGNOTI SAL TRSTS,73500,0.0,
1028,28 32,ATLANTIC,AV,2110.0,450,DENORMANDIE PHILIP Y GP,114500,0.0,
1029,28 32,ATLANTIC,AV,2110.0,450,DIGNOTI SAL TRSTS,75500,0.0,
1030,28 32,ATLANTIC,AV,2110.0,450,HOLIAN VICTORIA A,130500,0.0,
1031,28 32,ATLANTIC,AV,2110.0,450,DIGNOTI SOL TRSTS,52500,0.0,
1032,28 32,ATLANTIC,AV,2110.0,450,DENORMANDIE PHILIP Y GP,130500,0.0,
1033,28 32,ATLANTIC,AV,2110.0,450,DENORMANDIE PHILIP Y GP,130500,0.0,
1034,28 32,ATLANTIC,AV,2110.0,450,DENORMANDIE PHILIP Y GP,131000,0.0,
1035,28 32,ATLANTIC,AV,2110.0,450,DENORMANDIE PHILIP Y GP,102500,0.0,
1036,28 32,ATLANTIC,AV,2110.0,450,DENORMANDIE PHILIP Y GP,223500,0.0,
1037,28 32,ATLANTIC,AV,2110.0,450,DENORMANDIE PHILIP Y GP,269000,0.0,
1038,28 32,ATLANTIC,AV,2110.0,450,SUN HILL LLC,386000,0.0,
1039,28 32,ATLANTIC,AV,2110.0,450,OTEY BRADY,360500,0.0,
1040,28 32,ATLANTIC,AV,2110.0,450,BP CAPITAL INVESTMENTS LLC,286000,0.0,
1041,28 32,ATLANTIC,AV,2110.0,357,DENORMANDIE PHILIP Y GP,698000,0.0,
1042,28 32,ATLANTIC,AV,2110.0,358,DENORMANDIE PHILIP Y GP,317000,0.0,
1043,28 32,ATLANTIC,AV,2110.0,358,DENORMANDIE PHILIP Y GP,561000,0.0,
1044,28 32,ATLANTIC,AV,2110.0,358,LVG CORP,561000,0.0,
1045,28 32,ATLANTIC,AV,2110.0,358,DENORMANDIE PHILIP Y GP,561000,0.0,
1046,28 32,ATLANTIC,AV,2110.0,358,YONG HOLDINGS LLC,186000,0.0,
1047,28 32,ATLANTIC,AV,2110.0,358,YONG HOLDINGS LLC,305000,0.0,
1048,28 32,ATLANTIC,AV,2110.0,358,DENORMANDIE PHILIP Y GP,561000,0.0,
1049,28 32,ATLANTIC,AV,2110.0,358,VOLPE MARCO   TS,561000,0.0,
1050,28 32,ATLANTIC,AV,2110.0,357,DENORMANDIE PHILIP Y GP,331000,0.0,
1051,28 32,ATLANTIC,AV,2110.0,357,DENORMANDIE PHILIP Y GP,901000,0.0,
1052,28 32,ATLANTIC,AV,2110.0,357,DENORMANDIE PHILIP Y GP,901000,0.0,
1053,28 32,ATLANTIC,AV,2110.0,357,SUN HILL LLC,1239000,0.0,
1054,28 32,ATLANTIC,AV,2110.0,358,OTEY BRADY,781500,0.0,
1055,28 32,ATLANTIC,AV,2110.0,358,BP CAPITAL INVESTMENTS LLC,717500,0.0,
1056,28 32,ATLANTIC,AV,2110.0,358,THETA DELTA CHI EDUCATIONAL,127000,0.0,
1057,28 32,ATLANTIC,AV,2110.0,358,ICTECH-CASSIS JOHN,210000,0.0,
1058,28 32,ATLANTIC,AV,2110.0,358,JGB REALTY LLC,210000,0.0,
1059,28 32,ATLANTIC,AV,2110.0,358,THETA DELTA CHI EDUCATIONAL,210000,0.0,
1060,28 32,ATLANTIC,AV,2110.0,358,ARGOS MANAGEMENT LLC,210000,0.0,
1061,28 32,ATLANTIC,AV,2110.0,358,CFD REALTY LLC,210000,0.0,
1062,28 32,ATLANTIC,AV,2110.0,358,LOCHIATTO ANTHONY J,170500,0.0,
1063,28 32,ATLANTIC,AV,2110.0,358,CFD REALTY LLC,210000,0.0,
1064,28 32,ATLANTIC,AV,2110.0,358,VONDERLUFT CHRISTA,210000,0.0,
1065,28 32,ATLANTIC,AV,2110.0,358,DISHMAN DAVID D,210000,0.0,
1066,28 32,ATLANTIC,AV,2110.0,358,EM-TE LLC,133500,0.0,
1067,28 32,ATLANTIC,AV,2110.0,358,IACOI JOHN M,207500,0.0,
1068,28 32,ATLANTIC,AV,2110.0,358,LPG PROPERTIES LLC,210000,0.0,
1069,28 32,ATLANTIC,AV,2110.0,358,IACOI JOHN M,207500,0.0,
1070,28 32,ATLANTIC,AV,2110.0,358,LPG PROPERTIES LLC,166500,0.0,
1071,28 32,ATLANTIC,AV,2110.0,358,DENORMANDIE PHILIP Y GP,163000,0.0,
1072,28 32,ATLANTIC,AV,2110.0,358,LPG PROPERTIES LLC,207500,0.0,
1073,28 32,ATLANTIC,AV,2110.0,358,DENORMANDIE PHILIP Y GP,210000,0.0,
1074,28 32,ATLANTIC,AV,2110.0,358,HOLIAN VICTORIA A,210000,0.0,
1075,28 32,ATLANTIC,AV,2110.0,358,ZARELLA JAMES TS,210000,0.0,
1076,28 32,ATLANTIC,AV,2110.0,358,HOLIAN VICTORIA A,325500,0.0,
1077,28 32,ATLANTIC,AV,2110.0,358,TWO-40 LEWIS WHARF LLC,325500,0.0,
1078,28 32,ATLANTIC,AV,2110.0,358,LEWIS  WHARF  REALTY  LLC,285500,0.0,
1079,28 32,ATLANTIC,AV,2110.0,358,TWO-40 LEWIS WHARF LLC,323500,0.0,
1080,28 32,ATLANTIC,AV,2110.0,358,TWO-40 LEWIS WHARF LLC,460500,0.0,
1081,28 32,ATLANTIC,AV,2110.0,450,DIGNOTI SAL TRSTS,499000,0.0,
1082,20  ,EASTERN,AV,2110.0,346,PILOT HOUSE PROPERTIES LLC,30505000,1999.0,2016.0
1083,58 52,EASTERN,AV,2109.0,344,PILOT HOUSE PROPERTIES LLC,10333000,1899.0,2016.0
1084,295  ,COMMERCIAL,ST,2109.0,358,MICHAEL B LATTI TRST,674000,0.0,
1085,295  ,COMMERCIAL,ST,2109.0,358,MICHAEL B LATTI TRST,674000,0.0,
1086,343  ,COMMERCIAL,ST,2109.0,358,MARIO R FILARDO 2003 TRUST,706500,0.0,
1087,343  ,COMMERCIAL,ST,2109.0,358,BUCKLAND ARTHUR R,285000,0.0,
1088,343  ,COMMERCIAL,ST,2109.0,358,REGAN GEORGE K JR,812500,0.0,
1089,343  ,COMMERCIAL,ST,2109.0,358,SCAPPICHIO ROSEMARY,1065000,0.0,
1090,343  ,COMMERCIAL,ST,2109.0,358,ONE 08 UNION WHARF LLC,971500,0.0,
1091,343  ,COMMERCIAL,ST,2109.0,358,KEOHANE FRANK REALTY LLC,729000,0.0,
1092,343  ,COMMERCIAL,ST,2109.0,358,REGAN GEORGE K JR,925000,0.0,
1093,343  ,COMMERCIAL,ST,2109.0,358,BOSTON 113 UNION WHARF INC,713000,0.0,
1094,343  ,COMMERCIAL,ST,2109.0,358,REGAN GEORGE K JR,546500,0.0,
1095,343  ,COMMERCIAL,ST,2109.0,358,REGAN GEORGE K JR,635000,0.0,
1096,343  ,COMMERCIAL,ST,2109.0,358,SMITH MARILYN RAY TRST,469000,0.0,
1097,343  ,COMMERCIAL,ST,2109.0,358,CHARA ZDENO,650000,0.0,
1098,2 - 5,BATTERY WHARF,,2109.0,300,BBWH HOSPITALITY LLC,50926500,0.0,
1099,2 - 5,BATTERY WHARF,,2109.0,357,BBWH HOSPITALITY LLC,2343000,0.0,
1100,2 - 5,BATTERY WHARF,,2109.0,357,BBWH HOSPITALITY LLC,4344000,0.0,
1101,2 - 5,BATTERY WHARF,,2109.0,357,BBWH HOSPITALITY LLC,968000,0.0,
1102,160 -170,N WASHINGTON,ST,2114.0,320,1 LOVEJOY WHARF BOSTON,3122500,2014.0,
1103,226  ,CAUSEWAY,ST,2114.0,358,IRE-RE CAUSEWAY LLC,57767500,1906.0,2009.0
1104,479 483,HANOVER,ST,2113.0,337,LAURIA FRANCES,366700,0.0,
1105,420  ,COMMERCIAL,ST,2109.0,320,LAURIA FRANCES,669000,1965.0,2015.0
1106,390  ,COMMERCIAL,ST,2109.0,358,THREE-90 COMMERCIAL LLC,543000,0.0,
1107,380  ,COMMERCIAL,ST,2109.0,357,FORZI AZZURRI LLC,366000,0.0,
1108,371 -373,HANOVER,ST,2113.0,357,KING JADE REALTY LLC,263500,0.0,
1109,3 ,PRINCE,ST,2113.0,356,3 PRINCE STREET NOMINEE,211000,0.0,
1110,3  ,NORTH,SQ,2113.0,326,3 NORTH SQUARE LLC,1294000,1899.0,1997.0
1111,256  ,NORTH,ST,2113.0,357,VU NINH D,425000,0.0,
1112,2 ,PRINCE ,ST,2113.0,356,F & K LLC,300500,0.0,
1113,147 149,RICHMOND,ST,2109.0,356,RICHMOND HOUSE LLC,392000,0.0,
1114,283 -285,HANOVER,ST,2113.0,357,VARESE SHOES INC A MASS CORP,259500,0.0,
1115,287 295,HANOVER,ST,2113.0,357,DEUTERIO PAUL ETAL,1249000,0.0,
1116,287 295,HANOVER,ST,2113.0,357,S-BNK BOSTON HANOVER LLC,1396500,0.0,
1117,287 295,HANOVER,ST,2113.0,358,AEDIFICIUM PROPERTIES LLC,309000,0.0,
1118,221 215,HANOVER,ST,2113.0,320,CAROLINE LLC,2208500,1910.0,2010.0
1119,2  ,BOARD,AL,2113.0,302,BRICCO REALTY LLC,1628335,1900.0,2011.0
1120,1  ,BOARD,AL,2113.0,302,BRICCO REALTY LLC,215809,0.0,
1121,247 243,HANOVER,ST,2113.0,302,BRICCO REALTY LLC,2024701,1915.0,1996.0
1122,249 251,HANOVER,ST,2113.0,302,BRICCO REALTY LLC,895156,1905.0,2012.0
1123,130 -140,RICHMOND,ST,2109.0,378,ONE-50  NORTH STREET  LLC,11727711,1932.0,2013.0
1124,150 ,NORTH,ST,2109.0,378,ONE-50  NORTH STREET  LLC,6218289,1932.0,2013.0
1125,106 102,BLACKSTONE,ST,2109.0,326,BLACKSTONE PROPERTY LLC,266643,1899.0,1960.0
1126,100  ,BLACKSTONE,ST,2109.0,326,BLACKSTONE PROPERTY LLC,378357,,
1127,88 - 98,BLACKSTONE,ST,2109.0,319,DENORMANDIE PHILIP Y,2439000,1899.0,1992.0
1128,72 86,BLACKSTONE,ST,2109.0,387,DENORMANDIE PHILIP Y,920500,0.0,
1129,   ,CREEK,SQ,2109.0,387,DENORMANDIE PHILIP Y TRST,720043,0.0,
1130,   ,CREEK,SQ,2109.0,387,DENORMANDIE PHILIP Y TRST,246458,0.0,
1131,10 10A,MARSHALL,ST,2108.0,344,SWARTZ JAMES A TS,1554500,1899.0,2016.0
1132,45 - 55,UNION,ST,2108.0,344,FIFTY FIVE UNION LLC,5101500,1899.0,1988.0
1133,145 - 149,HANOVER,ST,2108.0,344,BEN SHERI TS,1565500,1899.0,2000.0
1134,37  ,UNION,ST,2108.0,326,MILANO JOSEPH A JR,429500,1899.0,2001.0
1135,41  ,UNION,ST,2108.0,326,MILANO JOSEPH A JR TRST,1964000,1899.0,2016.0
1136,22 14,MARSHALL,ST,2108.0,357,MILANO FAMILY REALTY TRUST,3597500,0.0,
1137,22 14,MARSHALL,ST,2108.0,358,DENORMANDIE PHILIP Y TRSTS,687500,0.0,
1138,12 - 11,MARSHALL,ST,2108.0,344,DENORMANDIE PHILIP Y TRST,1646000,1899.0,1990.0
1139,31 - 35,UNION,ST,2108.0,344,DENORMANDIE PHILIP Y,6523500,1899.0,2016.0
1140,6 12,NORTH,ST,2113.0,344,BINNIE WILLIAM H TS,10927000,1900.0,2013.0
1141,25  ,UNION,ST,2108.0,357,DENORMANDIE PHILIP Y,1251500,0.0,
1142,25  ,UNION,ST,2108.0,357,DENORMANDIE PHILIP Y,817500,0.0,
1143,54 68,BLACKSTONE,ST,2109.0,300,BOSTONIAN HOTEL ASSOCS LPS,45226074,1975.0,2008.0
1144,20 22,NORTH,ST,2109.0,300,BOSTONIAN HOTEL ASSOCS LPS,2321743,,
1145,16 18,NORTH,ST,2109.0,300,BOSTONIAN HOTEL LP,5703182,,
1146,20 30,CLINTON,ST,2109.0,336,DOCK SQUARE PARKING ,63462500,1980.0,2007.0
1147,70  ,FULTON,ST,2109.0,304,FRC INC,3198500,1960.0,2002.0
1148,120  ,FULTON,ST,2109.0,358,JACKSON PATRICIA A,69000,0.0,
1149,120  ,FULTON,ST,2109.0,358,JACKSON PATRICIA A,63500,0.0,
1150,120  ,FULTON,ST,2109.0,358,JACKSON PATRICIA A,65000,0.0,
1151,120  ,FULTON,ST,2109.0,358,PECRO LIMITED PARTNERSHIP,207500,0.0,
1152,120  ,FULTON,ST,2109.0,358,PECRO LIMITED PARTNERSHIP,234500,0.0,
1153,120  ,FULTON,ST,2109.0,358,WEBER STEPHEN R TS,188500,0.0,
1154,120  ,FULTON,ST,2109.0,358,WEBER STEPHEN R TS,105500,0.0,
1155,120  ,FULTON,ST,2109.0,358,WEBER STEPHEN R TS,68000,0.0,
1156,120  ,FULTON,ST,2109.0,358,WEBER STEPHEN R TS,135500,0.0,
1157,108  ,FULTON,ST,2109.0,358,GIUSTI  LEE-ANN,52500,0.0,
1158,100  ,FULTON,ST,2109.0,358,MARKS RICHARD,412500,0.0,
1159,201 ,NORTH,ST,2113.0,437,AT&T,420500,,
1160,175 181,NORTH,ST,2113.0,320,TRAAGLIONE RICHARD M TS,436000,1910.0,1990.0
1161,183 185,NORTH,ST,2113.0,320,TRAAGLIONE RICHARD M TS,309000,1910.0,1990.0
1162,229 233,NORTH,ST,2113.0,357,MULLICK S ANI,382500,0.0,
1163,252  ,COMMERCIAL,ST,2109.0,357,SAG LANDHOLDINGS LLC,160000,0.0,
1164,248 250,COMMERCIAL,ST,2109.0,344,COMMBOS LP,1535000,1910.0,1992.0
1165,240 246,COMMERCIAL,ST,2109.0,344,COMMBOS LP,4019500,1910.0,1994.0
1166,236  ,COMMERCIAL,ST,2109.0,358,CAPODILUPO DANIEL A,335000,0.0,
1167,232  ,COMMERCIAL,ST,2109.0,356,DAWLEY JOHN T TS,633000,0.0,
1168,220  ,COMMERCIAL,ST,2109.0,358,MAGNO LLC,222000,0.0,
1169,220  ,COMMERCIAL,ST,2109.0,358,WATERFRONT REALTY ASSOC LLC,389000,0.0,
1170,210 218,COMMERCIAL,ST,2109.0,344,WALSH JAMES H III TS,5181500,1915.0,2016.0
1171,280 290,COMMERCIAL,ST,2109.0,387,BRODER COMMERCIAL ST LLC,2502456,0.0,
1172,   ,COMMERCIAL,ST,2109.0,387,BRODER COMMERCIAL ST LLC,952544,0.0,
1173,266  ,COMMERCIAL,ST,2109.0,327,GIOIA THOMAS A,1319500,1899.0,1995.0
1174,342  ,COMMERCIAL,ST,2109.0,356,THREE42-346 COMMERCIAL ST,960000,0.0,
1175,338  ,COMMERCIAL,ST,2109.0,356,DOW JENNIFER,425000,0.0,
1176,328 326,COMMERCIAL,ST,2109.0,358,FDDG-MA LLC,606500,0.0,
1177,341  ,NORTH,ST,2113.0,358,REGAN GEORGE K JR,195500,0.0,
1178,328 326,COMMERCIAL,ST,2109.0,358,REGAN GEORGE K JR,377500,0.0,
1179,300  ,COMMERCIAL,ST,2109.0,358,MARINER 300 VENTURES LLC,1571500,0.0,
1180,300  ,COMMERCIAL,ST,2109.0,358,REGAN COMMUNICATIONS GROUP,470000,0.0,
1181,45 63,ATLANTIC,AV,2110.0,358,BENDETSON ANDREW P TRST,1593500,0.0,
1182,65 69,ATLANTIC,AV,2110.0,344,DONCASTER THERESA M TRSTS,3441000,1899.0,2016.0
1183,   ,COMMERCIAL,ST,2109.0,387,GIGLIO MICHAEL F TRSTS,743000,0.0,
1184,144  ,COMMERCIAL,ST,2109.0,358,142 COMMERCIAL STREET,218500,0.0,
1185,  142A,COMMERCIAL,ST,2109.0,358,ONE42-UC2 COMMERCIAL ST RLTY,215500,0.0,
1186,132 126,COMMERCIAL,ST,2109.0,358,GOLDMAN JEFFREY R TS,277500,0.0,
1187,   ,CLINTON,ST,2109.0,320,ASHKENAZY ACQUISITION CORP,168619500,1899.0,1980.0
1188,   ,CLINTON,ST,2109.0,320,ASHKENAZY ACQUISITION CORP,168619500,1899.0,1980.0
1189,   ,CLINTON,ST,2109.0,320,ASHKENAZY ACQUISITION CORP,168619500,2016.0,
1190,   ,CLINTON,ST,2109.0,320,ASHKENAZY ACQUISITION CORP,168619500,2016.0,
1191,   ,CLINTON,ST,2109.0,320,ASHKENAZY ACQUISITION CORP,168619500,1899.0,1982.0
1192,1  ,FANEUIL HALL MARKETPLACE, ,2109.0,346,ONE FANEUIL HALL LIMITED,21501000,1990.0,
1193,10  ,MERCHANTS,RO,2109.0,346,INDIA BUILDING LLC,42440000,1902.0,2016.0
1194,60  ,STATE,ST,2109.0,348,ANBECA 60 LLC,437399500,1977.0,2008.0
1195,   ,CONGRESS,ST,2109.0,326,BLAKELY GERALD W JR,5030000,1983.0,2005.0
1196,1 ,FANEUIL HALL,SQ,2109.0,320,GREETINGS FROM BOSTON,131000,,
1197,1 ,FANEUIL HALL,SQ,2109.0,320,RESCOR AT FANEUIL HALL INC,235000,,
1198,1 ,FANEUIL HALL,SQ,2109.0,320,THE LEATHER SHOP,261500,,
1199,1 ,FANEUIL HALL,SQ,2109.0,320,THE BOSTON SOCIETY,125500,,
1200,1 ,FANEUIL HALL,SQ,2109.0,320,COLOR INC,428500,,
1201,1 ,FANEUIL HALL,SQ,2109.0,320,RED BARN COFFEE ROASTERS INC,348500,,
1202,1 ,FANEUIL HALL,SQ,2109.0,320,COLOR INC,332500,0.0,
1203,1 ,FANEUIL HALL,SQ,2109.0,320,RESCOR AT FANEUIL HALL INC,220500,,
1204,1 ,FANEUIL HALL,SQ,2109.0,320,ROSE GRACE ANN,161000,,
1205,31  ,CLINTON,ST,2109.0,327,DURGIN PARK OWNERS LLC,3009500,1899.0,2009.0
1206,30 29,CLINTON,ST,2109.0,327,DURGIN PARK OWNERS LLC,2516000,1899.0,2001.0
1207,28 27,CLINTON,ST,2109.0,327,HOLT DEBORAH G,2798000,1899.0,1982.0
1208,28  ,STATE,ST,2109.0,348,TWENTY-8 STATE STREET LLC,276312500,1968.0,2010.0
1209,21  ,MERCHANTS,RO,2109.0,358,ANCHOR LLC,1034500,0.0,
1210,21  ,MERCHANTS,RO,2109.0,358,CANBUR INC MASS CORP,475000,0.0,
1211,21  ,MERCHANTS,RO,2109.0,358,CLEARY MARY,647500,0.0,
1212,21  ,MERCHANTS,RO,2109.0,358,MLG MERCHANTS ROW LLC,724500,0.0,
1213,21  ,MERCHANTS,RO,2109.0,358,MG PROPERTY LLC,475000,0.0,
1214,21  ,MERCHANTS,RO,2109.0,358,MG PROPERTY LLC,660500,0.0,
1215,21  ,MERCHANTS,RO,2109.0,358,OSHIMA HAROLD HTS,1100000,0.0,
1216,52 54,CHATHAM,ST,2109.0,424,BOSTON EDISON CO,1627237,1986.0,
1217, ,CHATHAM,RO,2109.0,341,CENTURY BANK,375500,,
1218,116 112,STATE,ST,2109.0,344,STATE ENTERPRISES LIMITED PA,3939000,1899.0,1994.0
1219,100  ,STATE,ST,2109.0,357,LINEAR RETAIL BOSTON #2  LLC,1395500,0.0,
1220,100  ,STATE,ST,2109.0,358,MM LAW LLC,736000,0.0,
1221,100  ,STATE,ST,2109.0,358,GGI REAL ESTATE CORP,726500,0.0,
1222,100  ,STATE,ST,2109.0,358,STATE STREET CENTURY LLC,726500,0.0,
1223,100  ,STATE,ST,2109.0,358,SIXTH FLOOR BOSTON LLC,726500,0.0,
1224,100  ,STATE,ST,2109.0,358,PANAGIOTOPOULOS CHRISTOS,726500,0.0,
1225,100  ,STATE,ST,2109.0,358,HINDS WALTER,726500,0.0,
1226,100  ,STATE,ST,2109.0,358,STATE STREET CENTURY LLC,726500,0.0,
1227,100  ,STATE,ST,2109.0,358,NUCLEUS HOLDING LLC,726500,0.0,
1228,100  ,STATE,ST,2109.0,358,STATE STREET 1011 LLC,726500,0.0,
1229,92 90,STATE,ST,2109.0,344,STEAMBOAT REALTY LLC ,7867000,1920.0,1987.0
1230,148  ,STATE,ST,2109.0,345,ONE 48 STATE STREET LPS,20205000,1899.0,2016.0
1231,61 63,CHATHAM,ST,2109.0,329,61-63 CHATHAM STREET LLC,3698000,1899.0,2016.0
1232,64 65,CHATHAM,ST,2109.0,327,HAPPY FAMILY LP,1239500,1899.0,1980.0
1233,8 4,COMMERCIAL,ST,2109.0,327,KELLEY GERALD F TRST,2236500,1899.0,2000.0
1234,160 170,STATE,ST,2109.0,345,NORTHLAND 160 STATE ST LLC,7086500,1920.0,2013.0
1235,156  ,STATE,ST,2109.0,358,ALOISI ANDREW TRST,495500,0.0,
1236,156  ,STATE,ST,2109.0,358,ADVANCED COSMETIC AND,495500,0.0,
1237,156  ,STATE,ST,2109.0,358,LLS PROPERTY LLC,607500,0.0,
1238,150 152,STATE,ST,2109.0,344,LDJ DEVELOPMENT LLC,1281000,1899.0,2017.0
1239,200 ,STATE,ST,2109.0,358,GLL 200 STATE STREET LP,134526500,0.0,
1240,200 ,STATE,ST,2109.0,357,MARKETPLACE CENTER ASSOC LLC,54584000,0.0,
1241,175 177,STATE,ST,2109.0,358,FIRST-177 RLTY CO LLP,944000,0.0,
1242,175 177,STATE,ST,2109.0,358,HENRICKS KAREN,432000,0.0,
1243,175 177,STATE,ST,2109.0,358,M NEWMAN FAMILY LP,788500,0.0,
1244,175 177,STATE,ST,2109.0,358,ONE MCKINLEY LLC,794000,0.0,
1245,175 177,STATE,ST,2109.0,358,THREETHREEONE HOLDINGS LLC,790000,0.0,
1246,175 177,STATE,ST,2109.0,358,MSADA REALTY LLC,784000,0.0,
1247,175 177,STATE,ST,2109.0,358,LANTERN LANE LLC,780500,0.0,
1248,183  ,STATE,ST,2109.0,357,DERHAGOPIAN MARK A,1535000,0.0,
1249,183  ,STATE,ST,2109.0,358,FIELD MICHAEL S TS,292500,0.0,
1250,183  ,STATE,ST,2109.0,358,FIELD MICHAEL S,246500,0.0,
1251,183  ,STATE,ST,2109.0,358,E & W HALL REALTY LLC,588000,0.0,
1252,183  ,STATE,ST,2109.0,358,LYBARSKY IGOR TS,583000,0.0,
1253,183  ,STATE,ST,2109.0,358,MCKENZIE DENZIL D TS,591000,0.0,
1254,183  ,STATE,ST,2109.0,358,DER HAGOPIAN MARK A   TS,725500,0.0,
1255,183  ,STATE,ST,2109.0,358,OHEARN PROPERTIES LLC,232500,0.0,
1256,183  ,STATE,ST,2109.0,358,OHEARN PROPERTIES LLC,257500,0.0,
1257,185 - 191,STATE,ST,2109.0,301,WATERFRONT  REALTY  TRUST,22169500,1899.0,2004.0
1258,185 - 191,STATE,ST,2109.0,301,WATERFRONT  REALTY  TRUST,22169500,1899.0,1985.0
1259,193 195,STATE,ST,2109.0,344,WATERFRONT REALTYTRUST,6354500,1899.0,2010.0
1260,199 ,STATE,ST,2109.0,356,MUSTANG CAPITAL PARTNERS LLC,799000,0.0,
1261,   ,CENTRAL,ST,2109.0,345,TWO FIFTY FIVE STATE ST LLC,499434,,
1262,237 247,STATE,ST,2109.0,346,TWO FIFTY FIVE STATE ST LLC,81375066,1916.0,2013.0
1263,36 44,BROAD,ST,2109.0,346,40 BROAD STREET OWNER INC,92735500,1923.0,2016.0
1264,49 47,BROAD,ST,2109.0,387,HUB PARKING LLC,1900500,0.0,
1265,118 ,MILK,ST,2109.0,344,TWENTY TWO LLC,8655500,1899.0,2016.0
1266,4  ,LIBERTY,SQ,2109.0,344,4 LIBERTY MA LLC,6042500,1899.0,2003.0
1267,1  ,LIBERTY,SQ,2109.0,346,CLPF-ONE LIBERTY SQUARE LLC,50188000,1924.0,2007.0
1268,15 19,BROAD,ST,2109.0,345,BOP 15 BROAD LLC,17991000,1920.0,2016.0
1269,21 R,BROAD,ST,2109.0,326,WOODBURY CONSTRUCTION,1362000,1900.0,1994.0
1270,33  ,BROAD,ST,2109.0,345,TERRA FIRMA-33 BROAD LLC,11954000,1920.0,2016.0
1271,130 120,WATER,ST,2109.0,344,ONE 30 WATER ST ASSOCIATES,3351500,1899.0,1981.0
1272,102 -114,WATER,ST,2109.0,344,112  LLC,5018500,1902.0,2016.0
1273,44 -48,KILBY,ST,2109.0,344,SEVEN  LIBERTY SQUARE  LLC,2416000,1899.0,2016.0
1274,75  ,STATE,ST,2109.0,348,BROOKFIELD PROP 75 STATE CO,412988000,1987.0,2009.0
1275,109  ,STATE,ST,2109.0,344,BBS  REAL ESTATE GROUP  LLC,6113500,1899.0,2013.0
1276,111 113,STATE,ST,2109.0,344,CONNIFF JAMES D,2378500,1899.0,2004.0
1277,5 -9,BROAD,ST,2109.0,344,NINE BROAD ST LLC,2731000,1899.0,2016.0
1278,43 65,STATE,ST,2109.0,348,FIFTY THREE STATE STREET,512450000,1983.0,2008.0
1279,50 48,CONGRESS,ST,2109.0,346,KBS SOR 50  CONGRESS  ST LLC,46582000,1910.0,2006.0
1280,55  ,KILBY,ST,2109.0,344,BEHRAKIS  DRAKE G,5054500,1910.0,2004.0
1281,60  ,CONGRESS,ST,2109.0,344,BEHRAKIS DRAKE G,8321000,1910.0,2004.0
1282,87  ,KILBY,ST,2109.0,346,WINHALL LIBERTY LLC,21143500,1910.0,1996.0
1283,100  ,MILK,ST,2109.0,346,POSIG  INVESTORS  LLC,75591000,1920.0,1999.0
1284,10 R,POST OFFICE,SQ,2109.0,345,SHIGO  10  PO  OWNER  LLC,4162650,,
1285,10  ,POST OFFICE,SQ,2109.0,346,SHIGO  10  PO  OWNER  LLC,52318350,1920.0,2008.0
1286,33 59,CONGRESS,ST,2109.0,347,RFM BLOCK ON CONGRESS I LLC,55000500,1907.0,2016.0
1287,56 - 68,DEVONSHIRE,ST,2109.0,345,MHF  DEVONSHIRE V  LLC,10013000,1915.0,2010.0
1288,13 15,CONGRESS,ST,2109.0,344,PO SQ 13-19 CONGRESS ST LLC,2410000,1920.0,2010.0
1289,19 21,CONGRESS,ST,2109.0,345,PO SQ 13-19 CONGRESS ST LLC,7269000,1915.0,1999.0
1290,31  ,STATE,ST,2109.0,345,THIRTY ONE STATE ST LLC,6510500,1899.0,2008.0
1291,46 48,DEVONSHIRE,ST,2109.0,345,FIDELITY REAL ESTATE COMPANY,6283500,1905.0,1999.0
1292,4 6,WATER,ST,2109.0,345,DEVONSHIRE FEE LLC,8797867,1899.0,2015.0
1293,258 260,WASHINGTON,ST,2108.0,344,DEVONSHIRE FEE LLC,3967940,,
1294,1 1A,STATE,ST,2109.0,346,STATE HOUSE LLC,19339500,1920.0,1999.0
1295,83 85,DEVONSHIRE,ST,2109.0,344,DEVONSHIRE FEE LLC,10657693,,
